standard_event	dataset_label	standard_action	standard_activity	dataset
emergency_vehicle	Fire engine, fire truck (siren)	fire_truck_siren_ringing		AudioSet_strong
emergency_vehicle	Fire engine, fire truck (siren)	fire_truck_siren_ringing		AudioSet
emergency_vehicle	fire truck siren	siren_ringing		VGGSound
emergency_vehicle	fire truck siren	vehicle_siren_ringing		VGGSound
emergency_vehicle	fire truck siren	fire_truck_siren_ringing		VGGSound
				
engine	Accelerating_and_revving_and_vroom	engine_accelerating		Fsd50k
engine	engine accelerating, revving, vroom	engine_accelerating		VGGSound
engine	Accelerating, revving, vroom	engine_accelerating		AudioSet
engine	Accelerating, revving, vroom	engine_accelerating		AudioSet_strong
engine	bus			Urbansas
engine	bus			MAVDtraffic
engine	bus			IDMTtraffic
engine	bus/engine_accelerating	engine_accelerating		MAVDtraffic
engine	bus/engine_accelerating	engine_accelerating		MAVDtraffic
engine	bus/engine_idling			MAVDtraffic
engine	bus/engine_idling			MAVDtraffic
engine	bus/compressor			MAVDtraffic
engine	driving buses			VGGSound
engine	Car passing by	vehicle_passing_by		AudioSet
engine	Car passing by	car_passing_by		AudioSet
engine	Car passing by	vehicle_passing_by		AudioSet_strong
engine	Car passing by	car_passing_by		AudioSet_strong
engine	car passing by	vehicle_passing_by		TUTSoundEvents2016
engine	car passing by	car_passing_by		TUTSoundEvents2016
engine	car passing by	car_passing_by		VGGSound
engine	car passing by	vehicle_passing_by		VGGSound
engine	Car_passing_by	vehicle_passing_by		AudioSet_strong
engine	Car_passing_by	car_passing_by		AudioSet_strong
engine	Car_passing_by	vehicle_passing_by		Fsd50k
engine	Car_passing_by	car_passing_by		Fsd50k
engine	car/engine_accelerating	engine_accelerating		MAVDtraffic
engine	car/engine_idling			MAVDtraffic
engine	car engine idling			VGGSound
engine	Chainsaw	sawing		AudioSet
engine	Chainsaw	sawing		AudioSet_strong
engine	chainsaw	sawing		ESC50
engine	Chainsaw	sawing		Singapura
engine	chainsaw	sawing		SONYC
engine	chainsawing trees	sawing		VGGSound
engine	Dental drill, dentist's drill			AudioSet
engine	Dental drill, dentist's drill			AudioSet_strong
engine	engine			Nigens
engine	engine			Archeo
engine	Engine			AudioSet
engine	Engine			AudioSet_strong
engine	engine			ESC50
engine	Engine			Fsd50k
engine	Engine			Singapura
engine	Engine knocking	engine_knocking		AudioSet
engine	Engine knocking	engine_knocking		AudioSet_strong
engine	car engine knocking	engine_knocking		VGGSound
engine	Engine_starting	engine_starting		Fsd50k
engine	Engine starting	engine_starting		AudioSet
engine	Engine starting	engine_starting		AudioSet_strong
engine	car engine starting	engine_starting		VGGSound
engine	engine_idling			MAESTROsynthetic
engine	engine_idling			UrbanSound8K
engine	engine-of-uncertain-size			SONYC
engine	Heavy engine (low frequency)			AudioSet
engine	Heavy engine (low frequency)			AudioSet_strong
engine	Idling			AudioSet
engine	Idling			AudioSet_strong
engine	Idling			Fsd50k
engine	Large engine			Singapura
engine	large_vehicle			MAESTROreal
engine	large-sounding-engine			SONYC
engine	Lawn mower			AudioSet
engine	Lawn mower			AudioSet_strong
engine	lawn mowing			VGGSound
engine	Light engine (high frequency)			AudioSet
engine	Light engine (high frequency)			AudioSet_strong
engine	Medium engine			Singapura
